江苏移动直播央视,#genre#
CCTV-1,http://ott.js.chinamobile.com/PLTV/3/224/3221226316/index.m3u8
CCTV-2,http://ott.js.chinamobile.com/PLTV/3/224/3221227207/index.m3u8
CCTV-3,http://ott.js.chinamobile.com/PLTV/3/224/3221225588/index.m3u8
CCTV-4,http://ott.js.chinamobile.com/PLTV/3/224/3221225534/index.m3u8
CCTV-5,http://ott.js.chinamobile.com/PLTV/4/224/3221227298/index.m3u8
CCTV-5+,http://ott.js.chinamobile.com/PLTV/4/224/3221227381/index.m3u8
CCTV-6,http://ott.js.chinamobile.com/PLTV/3/224/3221225548/index.m3u8
CCTV-7,http://ott.js.chinamobile.com/PLTV/3/224/3221225546/index.m3u8
CCTV-8,http://ott.js.chinamobile.com/PLTV/3/224/3221227205/index.m3u8
CCTV-9,http://ott.js.chinamobile.com/PLTV/3/224/3221225532/index.m3u8
CCTV-10,http://ott.js.chinamobile.com/PLTV/3/224/3221225550/index.m3u8
CCTV-11,http://ott.js.chinamobile.com/PLTV/3/224/3221227524/index.m3u8
CCTV-12,http://ott.js.chinamobile.com/PLTV/3/224/3221225556/index.m3u8
CCTV-13,http://ott.js.chinamobile.com/PLTV/3/224/3221227601/index.m3u8
CCTV-14,http://ott.js.chinamobile.com/PLTV/3/224/3221227201/index.m3u8
CCTV-15,http://ott.js.chinamobile.com/PLTV/3/224/3221227538/index.m3u8
CCTV-17,http://ott.js.chinamobile.com/PLTV/3/224/3221227589/index.m3u8
CCTV-发现之旅,http://ott.js.chinamobile.com/PLTV/4/224/3221227030/index.m3u8
CCTV-老故事,http://ott.js.chinamobile.com/PLTV/4/224/3221227043/index.m3u8
CCTV-女性时尚,http://ott.js.chinamobile.com/PLTV/4/224/3221227026/index.m3u8
凤凰中文,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225942/1.m3u8
凤凰资讯,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227255/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227215/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227246/index.m3u8
